method,method_label,n_targets,log_pseudo_joint_finite_n,log_pseudo_joint_negative_infinity_n,log_pseudo_joint_mean_finite,log_pseudo_joint_median_finite,log_pseudo_joint_mean_including_negative_infinity,log_pseudo_joint_median_including_negative_infinity,logP_scaffold_finite_n,logP_scaffold_negative_infinity_n,logP_scaffold_mean_finite,logP_scaffold_median_finite,logP_scaffold_mean_including_negative_infinity,logP_scaffold_median_including_negative_infinity,logP_extension_given_scaffold_finite_n,logP_extension_given_scaffold_negative_infinity_n,logP_extension_given_scaffold_mean_finite,logP_extension_given_scaffold_median_finite,logP_extension_given_scaffold_mean_including_negative_infinity,logP_extension_given_scaffold_median_including_negative_infinity,two_stage_mean_distance,two_stage_median_distance,two_stage_mean_normalized_distance,two_stage_median_normalized_distance,two_stage_exact_match_rate,viterbi_mean_distance,viterbi_median_distance,viterbi_mean_normalized_distance,viterbi_median_normalized_distance,viterbi_exact_match_rate,ipknot_mean_distance,ipknot_median_distance,ipknot_mean_normalized_distance,ipknot_median_normalized_distance,ipknot_exact_match_rate
pkprobdesign,PKProbDesign,254,254,0,-8.139967370853567,-1.702968125945,-8.139967370853567,-1.702968125945,254,0,-6.320614020306623,-0.7135930766155,-6.320614020306623,-0.7135930766155,254,0,-1.8193533505477657,-0.8514947507585,-1.8193533505477657,-0.8514947507585,2.8070866141732282,0.0,0.04488578801911169,0.0,0.6889763779527559,1.7598425196850394,0.0,0.02849525112414341,0.0,0.7125984251968503,4.330708661417323,3.0,0.08593420318238723,0.0625,0.24803149606299213
desirna,DesiRNA,254,254,0,-3.679752375667697,-1.43707471843,-3.679752375667697,-1.43707471843,254,0,-0.5338086511928852,-0.07537383964559999,-0.5338086511928852,-0.07537383964559999,254,0,-3.1459437244742325,-1.3873547369049999,-3.1459437244742325,-1.3873547369049999,2.106299212598425,0.0,0.031946476175862645,0.0,0.7125984251968503,3.047244094488189,0.0,0.044550830873690425,0.0,0.6850393700787402,6.3700787401574805,5.0,0.11973475399049355,0.125,0.14173228346456693
modena_ipknot,MODENA (IPknot),254,254,0,-12.203799140458747,-4.769558489045,-12.203799140458747,-4.769558489045,254,0,-10.153586539098255,-3.5346958866450002,-10.153586539098255,-3.5346958866450002,254,0,-2.0502126013604047,-0.896203938758,-2.0502126013604047,-0.896203938758,3.515748031496063,0.0,0.05988332767287579,0.0,0.5590551181102362,1.779527559055118,0.0,0.03206024875876364,0.0,0.610236220472441,0.36220472440944884,0.0,0.005849049304516788,0.0,0.8464566929133859
antarna_pkiss,antaRNA (pKiss),254,254,0,-13.72692050599617,-7.885524859569999,-13.72692050599617,-7.885524859569999,254,0,-9.678994833186156,-5.185861101965,-9.678994833186156,-5.185861101965,254,0,-4.047925672811241,-2.63451992258,-4.047925672811241,-2.63451992258,10.996062992125983,9.0,0.20444289106815844,0.1836734693877551,0.2047244094488189,7.52755905511811,3.0,0.13168515594840155,0.06749241658240646,0.3346456692913386,8.114173228346457,6.0,0.16567495460742546,0.16035714285714286,0.09448818897637795
