method,method_label,n_targets,mean_log_pseudo_joint,median_log_pseudo_joint,mean_logP_G,median_logP_G,mean_logP_Gprime_given_G_S,median_logP_Gprime_given_G_S,two_stage_mean_distance,two_stage_median_distance,two_stage_mean_normalized_distance,two_stage_median_normalized_distance,two_stage_exact_match_rate,viterbi_mean_distance,viterbi_median_distance,viterbi_mean_normalized_distance,viterbi_median_normalized_distance,viterbi_exact_match_rate,ipknot_mean_distance,ipknot_median_distance,ipknot_mean_normalized_distance,ipknot_median_normalized_distance,ipknot_exact_match_rate
pkprobdesign,PKProbDesign,254,-0.9621285123804579,-0.211687854609,-0.2912202746488709,-0.05634429353235,-0.6709082377318554,-0.14024753652400002,0.25984251968503935,0.0,0.003985583364172851,0.0,0.9291338582677166,0.8582677165354331,0.0,0.013258035617890043,0.0,0.8188976377952756,3.543307086614173,3.0,0.07266957056252019,0.06997144022847818,0.29133858267716534
desirna,DesiRNA,254,-1.8988027115543502,-0.9374578986140001,-0.25685969986285584,-0.0585960770947,-1.6419430116902598,-0.8198486322405,0.8582677165354331,0.0,0.014465952374619857,0.0,0.7913385826771654,2.0236220472440944,0.0,0.033038577170931574,0.0,0.6535433070866141,4.7362204724409445,4.0,0.09978778173631493,0.1027526395173454,0.1062992125984252
modena_ipknot,MODENA (IPknot),254,-1.8779333414808463,-0.5651222366205,-0.7533359999060739,-0.19913604949,-1.1245973415744364,-0.321305709779,1.2598425196850394,0.0,0.02140771302978844,0.0,0.7913385826771654,1.5511811023622046,0.0,0.027970834390077033,0.0,0.7047244094488189,1.2755905511811023,0.0,0.024719926278003203,0.0,0.6535433070866141
antarna_pkiss,antaRNA (pKiss),254,-5.278724717705236,-3.196670161465,-2.7726990371636635,-1.1825103988949999,-2.5060256805408856,-1.433419592545,5.84251968503937,3.0,0.09927543203729648,0.04985119047619045,0.42913385826771655,5.196850393700787,1.0,0.08746743049389552,0.026785714285714253,0.46062992125984253,6.21259842519685,5.0,0.12340474299852579,0.11498397435897437,0.0984251968503937
